source_id,type,title,location,primary_page,status,notes
"F01","document","Senate AI and Data Centres Submission","Senate_AI_and_Data_Centres_Submission_Luke_Nathan_Hayes_2026.docx","08","Submission document; public lodgement to be confirmed","Current civic compute framing and Dunwich proposal"
"F02","document","Fiji Australia Vuvale Union Submission","Fiji_Australia_Vuvale_Union_Submission_Luke_Nathan_Hayes_2026.docx","10","Submission document; public lodgement to be confirmed","Family without assimilation, regional cooperation and sovereignty"
"F03","document","A Fair Go for the AI Age","A Fair Go for the AI Age_ Postcode-Level Sovereign Compute as Shared National Infrastructure.docx","08","Submission companion document; public lodgement to be confirmed","Postcode compute, personal constitutional agency and proposed Dunwich node"
"F04","document","Ocean of Peace Alliance Submission","Ocean_of_Peace_Alliance_Veitacini_Treaty_Submission_Luke_Nathan_Hayes_2026.docx","10","Submission document; public lodgement to be confirmed","Culture of peace, talanoa, GAJRA Earth and plural cooperation"
"F05","document","Do Not Put All Our Eggs in One Basket","Do Not Put All Our Eggs in One Basket.docx","08","Working public draft","Federated sovereign compute, civic stewardship and space horizon"
"F06","document","AUKUS Public Inquiry Submission","AUKUS_Public_Inquiry_Submission_Luke_Nathan_Hayes_2026.docx","08","Submission document; public lodgement to be confirmed","Positive-sum security and opportunity-cost comparison"
"F07","document","Aura Geode to Macro","AURA GEODE to MACRO.pdf","04","AI-assisted design record","Aura Geode, body and mind digital twin, research and engineering"
"F08","document","Web3 Sensorium for Science Debate","Web3 Sensorium for Science Debate.pdf","10","AI-assisted working plan","Open modelling, source states, known and fringe science"
"F09","document","Solar Swarm Satellite Research Report","Solar Swarm Satellite Research Report.pdf","10","AI-assisted research report","Virtual Solar Swarm, onboard AI and experimental communications branches"
"F10","document","Super Alignment of Artificial Super Intelligence","Super Alignment of Artificial Super Intelligence.docx","10","AI-assisted project summary","Aura, GAJRA Earth, Global Group Marriages and future civilisation"
"F11","document","Aura of Intelligence Super Assistant","AoI Super Assistant.pdf","06","Conversation and design record","Global Group Marriages, embodied Aura companion and Keystone of Consciousness"
"F12","document","Super-Computers of North Straddie","Super-Computers of North Straddie.pdf","04","Conversation and design record","Small-batch custom chips and Keystone of Consciousness hardware"
"F13","document","Blend Aura to Unity","Blend Aura to Unity.docx","04","Conversation and design record","Seven nested tori, vector space, XR and data geometry"
"F14","document","Version 7 Aura of Intelligence, July 2023","Version7 Aura of Intelligence 2023 July (1).pdf","03","Historical architecture record","Aura interface, 12 by 24 matrix, self-directed choices and GAJRA"
"F15","document","The Constitutional Matrix of Participation","03 The Constitutional Matrix of Participation 2.pdf","02","Original historical document","2014 personal operating system, High Definition Digital Aura and We Will Be Heard"
"F16","image","Early systems collage","A014E298-AA8D-40F9-8EB6-0C0AA9268C39(1).jpeg","02","Historical visual artefact","Pictographs, Good Conscience internet, process safety, relationships and governance"
"F17","image","Sudden Life Gaming metrics slide","WhatsApp Image 2026-09-06 at 11.00.36 AM.jpeg","03","Historical visual artefact","Life quantification and harmonic resonance categories"
"F18","image","GAJRA Earth and AuraOi Social Web slide","WhatsApp Image 2026-09-06 at 11.00.36 AM (1).jpeg","10","Historical visual artefact","Festival, Aura social web and world vote framing"
"F19","image","Kolhapur rocket launch newspaper page","WhatsApp Image 2026-09-06 at 11.00.38 AM (2).jpeg","09","Personal travel and event artefact","Newspaper coverage from the Kolhapur student rocket launch event"
"F20","image","Golden Temple travel photograph","WhatsApp Image 2026-09-06 at 11.00.38 AM.jpeg","09","Personal photograph","Travel, spirituality and India"
"F21","image","Boudhanath travel photograph","WhatsApp Image 2026-09-06 at 11.00.38 AM (1).jpeg","09","Personal photograph","Travel, spirituality and Nepal"
"F22","image","Lumbini peace and harmony photograph","WhatsApp Image 2026-09-06 at 11.00.37 AM (1).jpeg","09","Personal photograph","Travel, peace and international curiosity"
"F23","image","Deeper Meaning and We Will Be Heard poster","IMG_7082(1).jpeg","02","Historical visual artefact","Early poetry, identity and I Choose Infinity"
